MetaFemina new-study exclusion ledger
=======================================
PMID | Published date | Screen | Code | Exposure | Cancer | Reason
41588831 | 2026-06-01 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin is used as part of an experimental breast cancer treatment platform rather than evaluated as an exposure affecting cancer risk.
41588865 | 2026-02-01 | first | S1-NOT-DIRECT | Leucine | Ovarian cancer | Leucine occurs only in the name of maternal embryonic leucine zipper kinase, making this a lexical false match in an ovarian cancer drug study.
41592214 | 2026-03-01 | first | S1-NOT-DIRECT | Melatonin | Breast cancer | Melatonin is only incidentally mentioned as a hormone affected by occupational circadian disruption, while the review evaluates occupational factors and breast cancer risk.
41604531 | 2026-07-01 | second | S2-REVIEW | Dairy | Breast cancer | This publication is a systematic review rather than an original human study.
41604531 | 2026-07-01 | second | S2-REVIEW | Yogurt | Breast cancer | This publication is a systematic review rather than an original human study.
41604601 | 2026-03-10 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only within the drug-class term poly(ADP-ribose) polymerase inhibitor in a metastatic breast cancer treatment trial.
41609066 | 2026-02-01 | first | S1-NOT-DIRECT | Propolis | Breast cancer | Propolis is investigated as a chemotherapeutic adjuvant in breast cancer cells, not as an exposure associated with breast cancer incidence.
41609314 | 2026-03-02 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is a component of a controlled-release breast cancer therapy platform rather than a nutritional exposure studied for cancer risk.
41610336 | 2026-02-17 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc occurs as part of synthesized metal complexes tested for anticancer activity, not as nutritional zinc associated with breast cancer incidence.
41611175 | 2026-04-01 | first | S1-NOT-DIRECT | Molybdenum | Breast cancer | Molybdenum oxide is used in an experimental postoperative breast cancer treatment nanoplatform, with no incidence question.
41611187 | 2026-04-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only within PARP inhibitor terminology in a review of treatment for metastatic breast cancer involving the brain.
41612597 | 2026-05-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine appears only in the laboratory reagent L-leucyl-L-leucine methyl ester, not as a nutritional exposure related to breast cancer risk.
41612597 | 2026-05-01 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | Pyruvate appears only in the name of pyruvate dehydrogenase kinase 4 during a mechanistic study of bone metastasis growth.
41615626 | 2026-03-01 | first | S1-NOT-DIRECT | Quercetin | Ovarian cancer | Quercetin is administered as a senolytic treatment to inhibit established ovarian cancer progression and metastasis, not studied for incidence.
41615626 | 2026-03-01 | first | S1-NOT-DIRECT | Resveratrol | Ovarian cancer | Resveratrol is administered therapeutically to inhibit established ovarian cancer progression and metastasis, not evaluated as a risk exposure.
41616389 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only within PARP inhibitor terminology, and the article studies treatment outcomes in ovarian rather than breast cancer.
41616389 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within PARP inhibitor terminology in a study of treatment response and prognosis among patients with established ovarian cancer.
41617437 | 2026-02-01 | first | S1-NOT-DIRECT | Vitamin B2 | Uterine cancer | The study compares riboflavin metabolism in existing uterine tumors and normal tissue, addressing tumor biology rather than incident cancer risk.
41619436 | 2026-04-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc-binding affinity is a drug-design property in a study of experimental triple-negative breast cancer therapy, not a nutritional zinc exposure.
41619504 | 2026-03-12 | first | S1-NOT-DIRECT | Iron | Ovarian cancer | Iron appears only in the definition of ferroptosis, while the study evaluates erianin as an ovarian cancer treatment rather than iron exposure and cancer incidence.
41620136 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | The article concerns nicotinamide N-methyltransferase in breast cancer progression and treatment, with no ribose exposure or incidence question.
41621547 | 2026-04-01 | first | S1-NOT-DIRECT | Cannabidiol | Breast cancer | The study tests cannabidiol-induced death in established breast cancer cells and does not examine breast cancer incidence or risk.
41621692 | 2026-05-01 | first | S1-NOT-DIRECT | Glutamine | Breast cancer | Glutamine is discussed as tumor-cell metabolism in established breast cancer rather than as a nutritional exposure associated with incidence.
41625590 | 2026-03-01 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | The pyruvate match derives from pyruvate kinase and cancer metabolism, not pyruvate exposure or breast cancer risk.
41628161 | 2026 | first | S1-NOT-DIRECT | Iron | Breast cancer | The study tests an iron-binding microbial siderophore against an established breast cancer cell line rather than iron exposure and breast cancer incidence.
41628161 | 2026 | first | S1-NOT-DIRECT | Magnesium | Breast cancer | Magnesium is mentioned only as a metal bound by the siderophore and is not studied as an exposure related to breast cancer risk.
41628161 | 2026 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc is mentioned only as a metal bound by the siderophore and is not studied as an exposure related to breast cancer risk.
41628477 | 2026-02-16 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is a component of a theranostic drug-delivery nanomaterial used to treat established breast tumors, not a nutritional risk exposure.
41629270 | 2026-02-02 | first | S1-NOT-DIRECT | Glutamine | Ovarian cancer | The glutamine match is part of the enzyme name protein-glutamine gamma-glutamyltransferase and not a study of glutamine exposure and ovarian cancer incidence.
41629963 | 2026-02-02 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron appears only in the mechanistic definition of ferroptosis in established breast cancer, with no iron exposure–incidence analysis.
41630017 | 2026-02-02 | first | S1-NOT-DIRECT | Selenium | Ovarian cancer | Selenium is administered to patients with recurrent ovarian cancer to prevent chemotherapy-induced neuropathy rather than to assess ovarian cancer incidence.
41630480 | 2026-04-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | The zinc match occurs only within the protein name zinc finger E-box binding homeobox 1 and does not represent zinc exposure.
41630535 | 2026-02-01 | first | S1-NOT-DIRECT | Oats | Breast cancer | OATs denotes organic anion transporters and BCRP denotes breast cancer resistance protein, so neither oats exposure nor breast cancer incidence is studied.
41631347 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Ovarian cancer | Calcium is a component of a therapeutic nanoplatform that induces calcium overload in established ovarian cancer, not an incidence-related nutritional exposure.
41631442 | 2026-02-17 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine appears only within leucine aminopeptidase in a probe for chemotherapy-related kidney injury, not as an exposure related to breast cancer incidence.
41632000 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | The article evaluates adverse events from breast cancer immunotherapy and mentions poly ADP-ribose polymerase inhibitors, not ribose exposure or cancer risk.
41632032 | 2026-05-13 | first | S1-NOT-DIRECT | Vitamin D | Uterine cancer | The review concerns vitamin D and benign uterine fibroids rather than incident uterine cancer.
41636890 | 2026-02-04 | first | S1-NOT-DIRECT | Iron | Uterine cancer | The article examines iron homeostasis and ferroptosis as mechanisms and treatment targets in established endometrial cancer, not iron exposure and incidence.
41638006 | 2026-06-01 | first | S1-NOT-DIRECT | Gelatin | Breast cancer | Gelatin is used as a coating for therapeutic gold nanoparticles tested in established breast cancer cells, not as a nutritional exposure associated with incidence.
41638057 | 2026-03-01 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | The study evaluates quercetin as a therapy for progression and metastasis of established breast cancer with diabetes, not breast cancer incidence.
41638090 | 2026-05-01 | first | S1-NOT-DIRECT | Glucomannan | Ovarian cancer | Glucomannan is used to formulate magnesium oxide nanoparticles tested for cytotoxicity in established ovarian cancer cells, not as an incidence-related exposure.
41638090 | 2026-05-01 | first | S1-NOT-DIRECT | Magnesium | Ovarian cancer | Magnesium oxide is part of an experimental nanoparticle therapy tested against established ovarian cancer cells rather than a nutritional exposure studied for incidence.
41638315 | 2026-05-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine appears only within the name of a leucine-rich-repeat protein in a breast cancer progression study, not as a nutritional exposure or incidence factor.
41640398 | 2026-02-03 | first | S1-NOT-DIRECT | Ketones | Breast cancer | Ketones are synthesis reagents for compounds tested as breast cancer treatments, not a nutritional exposure studied in relation to breast cancer incidence.
41640714 | 2026 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is a component of a therapeutic nanoplatform for established triple-negative breast cancer, not an incidence exposure.
41640714 | 2026 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron homeostasis is discussed as part of treatment-induced ferroptosis in established breast tumors, not breast cancer risk or incidence.
41641104 | 2026-03-01 | first | S1-NOT-DIRECT | Nitric oxide | Breast cancer | Nitric oxide pathway markers are studied in breast cancer cell spheroids for disease monitoring and inflammatory mechanisms, not incident breast cancer risk.
41642732 | 2026-04-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc occurs only in the protein name Zinc Finger Protein 184 and is not studied as a nutritional exposure.
41645759 | 2026-04-01 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin is evaluated as a treatment that affects chemoresistance in breast cancer cells, with no incidence or risk question.
41645812 | 2026-02-18 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron-dependent ferroptosis is exploited therapeutically in established triple-negative breast cancer rather than studied as an incidence exposure.
41645824 | 2026-02-06 | first | S1-NOT-DIRECT | Alcohol | Ovarian cancer | Alcohol appears only in the gene name alcohol dehydrogenase 1C, not as alcohol consumption or a related ovarian cancer risk exposure.
41646014 | 2026-04-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Intracellular iron homeostasis is examined mechanistically during xanthatin-induced ferroptosis treatment, not in relation to breast cancer incidence.
41649319 | 2026-02-25 | first | S1-NOT-DIRECT | Ketones | Breast cancer | Ketones are synthetic chemical reactants used to produce compounds assessed for anticancer activity, not nutritional exposures linked to breast cancer incidence.
41650740 | 2026-05-15 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron-related compounds are components of a ferroptosis-based nanoprodrug therapy for established breast cancer, not incidence factors.
41651244 | 2026-05-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is part of magnetic nanoparticles and a drug-delivery complex for treating breast cancer cells, with no cancer risk question.
41652494 | 2026-02-06 | first | S1-NOT-DIRECT | Manganese | Ovarian cancer | Manganese dioxide is used in a therapeutic and imaging nanovaccine for established ovarian cancer, not studied as an incidence exposure.
41653242 | 2026-03-02 | first | S1-NOT-DIRECT | Copper | Uterine cancer | Copper oxide is a nanotherapeutic agent tested for cervical tumor ablation, not a nutritional copper exposure associated with uterine cancer incidence.
41653263 | 2026-04-01 | first | S1-NOT-DIRECT | Magnesium | Breast cancer | Magnesium oxide is part of an anticancer nanocomposite tested on breast cancer cells, not an exposure evaluated for breast cancer risk.
41653296 | 2026-02-07 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the name poly(ADP-ribose) polymerase inhibitor used for ovarian cancer therapy, not as a nutritional exposure.
41654913 | 2026-02-07 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only in the drug-class name poly(ADP-ribose) polymerase inhibitors in an ovarian cancer maintenance-treatment study.
41655332 | 2026-06-01 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is used as a hydrogel drug-delivery material for established triple-negative breast cancer cells, not as an incidence exposure.
41655499 | 2026-03-01 | first | S1-NOT-DIRECT | Glutamine | Breast cancer | Glutamine is mentioned only as part of tumor-cell metabolic pathway analysis focused on breast cancer progression and prognosis, not incidence risk.
41655532 | 2026-04-01 | first | S1-NOT-DIRECT | Iodine | Breast cancer | Radioactive iodine is used solely as a lymph-node marking tool during breast cancer staging and is not studied as a nutritional risk exposure.
41656316 | 2026-02-16 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc nanoparticles are evaluated for cytotoxicity in breast cancer cells, not nutritional zinc exposure and breast cancer incidence.
41657001 | 2026-06-01 | first | S1-NOT-DIRECT | Calcium | Uterine cancer | Calcium appears only in the drug-class term calcium channel blocker, and uterine cancer incidence is not studied.
41657333 | 2026-02-09 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is used as a nanoparticle carrier for breast cancer treatment rather than studied as an exposure affecting breast cancer risk.
41657333 | 2026-02-09 | first | S1-NOT-DIRECT | Folic acid | Breast cancer | Folic acid is used to functionalize nanoparticles for targeted breast cancer therapy, with no incident-cancer question.
41660632 | 2026 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is a component of a therapeutic nanoplatform tested against established breast tumors, not a nutritional risk exposure.
41660799 | 2026-03-02 | first | S1-NOT-DIRECT | Melatonin | Breast cancer | Melatonin is merely an analyte detected by coordination polymers whose separate anticancer activity is tested in breast cancer cells.
41662919 | 2026-05-01 | first | S1-NOT-DIRECT | Antioxidants | Breast cancer | Antioxidants are mentioned in a review of ferroptosis and therapeutic strategies for established triple-negative breast cancer, not incidence risk.
41662919 | 2026-05-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is discussed mechanistically as part of ferroptosis in established breast cancer rather than as a nutritional exposure associated with incidence.
41663524 | 2026-02-10 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium appears only as a signaling pathway in proteomic analysis of patients with existing breast cancer.
41663649 | 2026-02-10 | second | S2-POSTDIAGNOSIS | Vitamin D | Breast cancer | Serum 25-hydroxyvitamin D was assessed in existing breast cancer patients and controls, with no indication that the measurement preceded cancer diagnosis.
41664213 | 2026-02-09 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the name poly-adenosine diphosphate ribose polymerase in a study of ovarian cancer maintenance therapy and recurrence.
41665359 | 2026-03-11 | first | S1-NOT-DIRECT | Lactobacillus | Uterine cancer | The review links Lactobacillus-depleted vaginal microbiota to cervical cancer, not uterine cancer.
41666661 | 2026-04-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc homeostasis is examined as a molecular pathway in established breast cancer without assessing nutritional zinc exposure or incidence.
41667744 | 2026-02-11 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper oxide nanoparticles are tested for antiproliferative treatment activity in breast cancer cells rather than cancer risk.
41667744 | 2026-02-11 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin is incidentally identified as a nanoparticle capping phytochemical and is not evaluated as an exposure affecting breast cancer incidence.
41668047 | 2026-02-10 | first | S1-NOT-DIRECT | Iodine | Breast cancer | Iodine concentration is a CT imaging parameter used to predict chemotherapy response in existing breast cancer, not a nutritional exposure.
41668072 | 2026-02-10 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only in the name of PARP inhibitors discussed as ovarian cancer therapy.
41668153 | 2026-02-10 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc appears only in the name of the IKZF1 zinc-finger transcription factor in a radiotherapy mechanism study.
41670942 | 2026-02-11 | first | S1-NOT-DIRECT | Cannabidiol | Breast cancer | Cannabidiol is investigated as therapy for drug-resistant established breast cancer rather than as an exposure associated with incidence.
41672865 | 2026-07-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the chemical name of PARP inhibitors in an ovarian cancer treatment and survival study.
41672971 | 2026-02-11 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is examined mechanistically in palmitate-induced ferroptosis of established breast cancer cells, not as an incidence-related nutritional exposure.
41673585 | 2026-02-11 | first | S1-NOT-DIRECT | Calcium | Ovarian cancer | Calcium is discussed through a calcium-binding tumor protein in a prognosis study of existing ovarian cancer.
41673649 | 2026-02-11 | first | S1-NOT-DIRECT | Calcium | Breast cancer | The article studies intracellular mitochondrial calcium transport and cell survival mechanisms rather than calcium exposure and breast cancer incidence.
41673690 | 2026-02-11 | first | S1-NOT-DIRECT | Iron | Ovarian cancer | Iron accumulation is examined only as part of ferroptosis induced by an experimental treatment in existing ovarian cancer cells, not as an incident-cancer exposure.
41673739 | 2026-02-12 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron supplementation is studied as a strategy to enhance immunotherapy in existing breast cancer models, not as a breast cancer risk factor.
41674152 | 2026-03-03 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium influx is only a mechanistic cellular response in existing breast cancer cells and is not evaluated as an exposure affecting breast cancer incidence.
41674152 | 2026-03-03 | first | S1-NOT-DIRECT | Chondroitin | Breast cancer | Chondroitin sulfate is tested as an inhibitor of tumor-promoting cellular responses in existing breast cancer cells, not as an incident breast cancer exposure.
41674488 | 2026-03-02 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is a component of a therapeutic nanoparticle platform tested against existing breast cancer cells, with no cancer-risk question.
41677053 | 2026-02-12 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the drug-class term poly ADP-ribose polymerase inhibitor in a treatment case report, not as a nutritional exposure.
41677644 | 2026-02-02 | first | S1-NOT-DIRECT | N-acetylcysteine | Ovarian cancer | N-acetylcysteine is tested for therapeutic effects on established ovarian cancer cells rather than for an association with ovarian cancer incidence.
41677674 | 2026-02-06 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine occurs only in the structural phrase small leucine-rich proteoglycan and is not studied as a nutritional breast cancer exposure.
41678559 | 2026 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is analyzed solely as a biochemical prognostic marker for survival among women already diagnosed with breast cancer.
41679192 | 2026-03-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | A copper-bound drug metabolite is studied to enhance radionuclide uptake in existing breast tumors, not as an exposure associated with incidence.
41679436 | 2026-04-10 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is delivered through a therapeutic nanoplatform to induce cuproptosis in established breast tumors, with no incident-cancer question.
41679436 | 2026-04-10 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | Pyruvate is only a product of therapeutic lactate metabolism within existing breast tumors and is not studied as a risk exposure.
41680019 | 2026-07-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | The study evaluates BRCA and homologous-recombination status as predictors of survival in established ovarian cancer and does not study ribose exposure.
41680021 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology in a review of post-diagnosis treatment and survival.
41680021 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Uterine cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology, and the review concerns treatment and survival rather than uterine cancer incidence.
41680584 | 2026-07-01 | first | S1-NOT-DIRECT | Magnesium | Uterine cancer | Magnesium is tested for antitumor effects in established cervical cancer cells and xenografts, not for risk of incident uterine cancer.
41680789 | 2026-02-12 | first | S1-NOT-DIRECT | Cannabidiol | Ovarian cancer | Cannabidiol is investigated as a cell-death-inducing therapeutic agent in an established ovarian granulosa tumor cell line, not as an incidence exposure.
41681024 | 2026-02-01 | first | S1-NOT-DIRECT | Iodine | Breast cancer | Iodine is used solely as a contrast agent in a mammography imaging simulation and is not evaluated in relation to breast cancer risk.
41681056 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within PARP inhibitor terminology in a study of treatment, recurrence, and survival after ovarian cancer diagnosis.
41684035 | 2026-02-06 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the name poly(ADP-ribose) polymerase inhibitors in a genomics and treatment review, not as a risk exposure.
41684176 | 2026-02-13 | first | S1-NOT-DIRECT | Folic acid | Breast cancer | Folic acid is used to decorate a targeted tamoxifen delivery system for established breast cancer cells rather than being studied as an incidence-related exposure.
41684192 | 2026-07-01 | first | S1-NOT-DIRECT | Iodine | Ovarian cancer | Radioactive iodine is discussed as treatment for malignant struma ovarii and not as an exposure associated with ovarian cancer incidence.
41684405 | 2026-02-11 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is merely a catalyst used to synthesize compounds tested against breast cancer cells and is not the cancer-risk exposure under study.
41685799 | 2026-03-17 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc appears only within the name of the transcription factor ZEB1, and the study concerns breast cancer invasion and angiogenesis rather than incidence.
41686323 | 2026-07-01 | first | S1-NOT-DIRECT | Selenium | Breast cancer | The review is limited to selenium-containing agents for breast cancer therapy and does not address incident breast cancer risk.
41686450 | 2026-04-01 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is used as a targeted drug-delivery material for treating established breast cancer rather than as an incidence-related nutritional exposure.
41688849 | 2026-06-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc occurs only as part of cadmium zinc telluride imaging detectors, not as a nutritional exposure related to breast cancer incidence.
41689303 | 2026-07-01 | first | S1-NOT-DIRECT | Cartilage | Breast cancer | Cartilage appears only in the protein name cartilage oligomeric matrix protein, and the study examines metastatic mechanisms rather than cancer incidence.
41689896 | 2026-04-01 | second | S2-REVIEW | Alcohol | Breast cancer | This publication is a systematic review and meta-analysis rather than an original human study.
41691059 | 2026-03-01 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | Pyruvate is an intracellular metabolic pool in a mechanistic study of immune evasion and treatment, not an exposure evaluated for breast cancer incidence.
41691707 | 2026-02-12 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is a component of a paclitaxel drug-delivery matrix and is not studied as an exposure affecting breast cancer incidence.
41692043 | 2026-04-10 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron oxide nanoparticles are evaluated as imaging or antitumor agents in an established breast cancer model, not as an incidence-related iron exposure.
41692045 | 2026-04-10 | first | S1-NOT-DIRECT | Nitric oxide | Breast cancer | Nitric oxide is used as an immune-signaling biomarker monitored by a therapeutic hydrogel, with no breast cancer incidence question.
41692348 | 2026-05-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium refers to intracellular oscillations in a mechanistic study of breast cancer-induced bone destruction rather than nutritional calcium and cancer incidence.
41693303 | 2026-02-01 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc appears only in the zinc-finger protein name ZCCHC3, while breast cancer is mentioned as prior prognostic context rather than studied for incidence.
41693303 | 2026-02-01 | first | S1-NOT-DIRECT | Zinc | Ovarian cancer | Zinc appears only in the zinc-finger protein name ZCCHC3, and the ovarian cancer study concerns prognosis rather than zinc exposure and incidence.
41693649 | 2026-02-28 | first | S1-NOT-DIRECT | Potassium | Breast cancer | Potassium occurs only in the name potassium channel tetramerization domain 15, and the study addresses breast cancer progression mechanisms rather than incidence.
41694094 | 2026-02-05 | first | S1-NOT-DIRECT | Folic acid | Breast cancer | Folic acid is used to functionalize nanoparticles for targeted treatment of established breast cancer cells, not evaluated as an incidence-related exposure.
41695411 | 2026-02-11 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin derivatives are investigated as therapeutic chemosensitizers against breast cancer cells rather than as exposures associated with breast cancer incidence.
41696317 | 2026-02-10 | first | S1-NOT-DIRECT | Phosphorus | Breast cancer | Phosphorus appears only in a comparison to black phosphorus quantum dots in a breast cancer imaging study, not as a nutritional incidence exposure.
41697310 | 2026-04-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium supplementation is considered for managing treatment-induced bone loss among existing breast cancer patients, not for breast cancer incidence.
41697310 | 2026-04-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | Vitamin D supplementation is considered for managing treatment-induced bone loss among existing breast cancer patients, not for breast cancer incidence.
41697452 | 2026-02-16 | first | S1-NOT-DIRECT | Green tea | Ovarian cancer | Green tea is discussed as an integrative intervention during biochemical ovarian cancer recurrence, with no incident-cancer risk question.
41697452 | 2026-02-16 | first | S1-NOT-DIRECT | Melatonin | Ovarian cancer | Melatonin is discussed as an integrative intervention during biochemical ovarian cancer recurrence, with no incident-cancer risk question.
41697452 | 2026-02-16 | first | S1-NOT-DIRECT | Mushrooms | Ovarian cancer | Medicinal mushrooms are discussed as integrative interventions during biochemical ovarian cancer recurrence, with no incident-cancer risk question.
41697452 | 2026-02-16 | first | S1-NOT-DIRECT | Tea | Ovarian cancer | Tea is discussed only as green tea used during biochemical ovarian cancer recurrence, not as an exposure associated with ovarian cancer incidence.
41697452 | 2026-02-16 | first | S1-NOT-DIRECT | Vitamin D | Ovarian cancer | Vitamin D sufficiency is discussed as supportive care during biochemical ovarian cancer recurrence, not in relation to ovarian cancer incidence.
41698963 | 2026-02-16 | first | S1-NOT-DIRECT | Nitric oxide | Breast cancer | Nitric oxide is measured in inflammatory cells while breast cancer proteins appear only in docking analyses, with no breast cancer incidence association.
41699384 | 2026-02-16 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose is only a lexical component of the drug-class name poly(ADP-ribose) polymerase, and ovarian cancer incidence is not studied.
41700599 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | The review examines PTHrP, hypercalcemia, tumor characteristics, relapse, and survival among breast cancer patients rather than calcium exposure and breast cancer incidence.
41700975 | 2026-06-17 | second | S2-EXPOSURE-MISMATCH | Iodine | Breast cancer | The exposure was therapeutic radioactive iodine administered for hyperthyroidism rather than nutritional iodine exposure.
41701112 | 2026-03-02 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is used as a therapeutic hydrogel carrier in an established breast cancer model, with no incident-cancer risk question.
41702151 | 2026-06-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium peroxide is a component of an experimental nanotherapy designed to suppress existing breast tumors rather than an exposure evaluated for cancer incidence.
41702151 | 2026-06-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese is an incidental component of an experimental breast cancer nanotherapy and is not studied as a risk exposure.
41703096 | 2026-02-17 | second | S2-DIAGNOSTIC-MECHANISTIC | Calcium | Breast cancer | Calcium was measured in breast tumor tissue after diagnosis to characterize tissue elemental accumulation rather than as a prediagnostic nutritional exposure.
41703096 | 2026-02-17 | second | S2-DIAGNOSTIC-MECHANISTIC | Iron | Breast cancer | Iron was measured in breast tumor tissue after diagnosis to characterize tissue elemental accumulation rather than as a prediagnostic nutritional exposure.
41703096 | 2026-02-17 | second | S2-DIAGNOSTIC-MECHANISTIC | Phosphorus | Breast cancer | Phosphorus was measured in breast tumor tissue after diagnosis to characterize tissue elemental accumulation rather than as a prediagnostic nutritional exposure.
41703096 | 2026-02-17 | second | S2-DIAGNOSTIC-MECHANISTIC | Zinc | Breast cancer | Zinc was measured in breast tumor tissue after diagnosis to characterize tissue elemental accumulation rather than as a prediagnostic nutritional exposure.
41703283 | 2026-03-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | The study investigates the mechanistic antitumor effects of vitamin D in breast cancer cells rather than breast cancer incidence or risk.
41703284 | 2026-03-01 | first | S1-NOT-DIRECT | Iron | Ovarian cancer | Iron appears as part of the ferroptosis mechanism in existing ovarian cancer cells and is not evaluated as an exposure affecting ovarian cancer incidence.
41703591 | 2026-02-17 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc is only part of the cadmium-zinc-telluride cardiac imaging technology used during cancer therapy, not a breast cancer risk exposure.
41704299 | 2026-04-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium overload is a therapeutic mechanism in an established breast cancer model rather than an exposure studied for breast cancer incidence.
41704531 | 2026 | first | S1-NOT-DIRECT | Ginseng | Breast cancer | The study evaluates ginseng compounds as potential aromatase inhibitors for breast cancer treatment, not as exposures associated with incident breast cancer.
41705291 | 2026-03-01 | first | S1-NOT-DIRECT | Melatonin | Breast cancer | The title describes melatonin-induced inhibition and apoptosis in existing breast cancer cells, with no incident-cancer risk question.
41705552 | 2026-02-15 | first | S1-NOT-DIRECT | Gelatin | Breast cancer | Gelatin is a material used to construct an in vitro breast cancer hydrogel model and is not evaluated as a nutritional risk exposure.
41705660 | 2026-02-25 | first | S1-NOT-DIRECT | Copper | Breast cancer | A synthetic copper complex is tested as a treatment against existing breast cancer cells rather than copper exposure being studied for cancer incidence.
41706454 | 2026-02-02 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol use is only an individual-level covariate in a study of survival among women already diagnosed with breast cancer.
