Unsaved PubMed candidates before relevance screening
====================================================
PMID | Published date | Candidate contexts | Title
41655532 | 2026-04-01 | Iodine / Breast cancer / Incidence | Impact of axillary disease extent defined by baseline <sup>18</sup>F-FDG PET/CT on the accuracy of axillary surgical staging after neoadjuvant systemic therapy in clinically node-positive breast cancer.
41656316 | 2026-02-16 | Zinc / Breast cancer / Incidence | Eco-friendly synthesis of star-shaped Zn nanoparticles using Beta vulgaris peel extract and evaluation of their antibacterial, photocatalytic, and cytotoxic activities.
41657001 | 2026-06-01 | Calcium / Uterine cancer / Incidence | Topical Diltiazem in the Management of Cutaneous Leiomyoma-Associated Pain: Evaluation With a Cold-Provocation Test.
41657333 | 2026-02-09 | Chitosan / Breast cancer / Incidence; Folic acid / Breast cancer / Incidence | Folic acid-conjugated biopolymeric nanoparticles for targeted delivery of ixabepilone in breast cancer.
41660632 | 2026 | Copper / Breast cancer / Incidence | Dual Sensitization Enables Synergistic Photodynamic Therapy and Radiotherapy for Breast Cancer.
41660799 | 2026-03-02 | Melatonin / Breast cancer / Incidence | Divergence in Cu(II)- and Zn(II)-Based Coordination Polymers: The Sensing of Melatonin and Tryptophan, and Their Anticancer Activity.
41662919 | 2026-05-01 | Antioxidants / Breast cancer / Incidence; Iron / Breast cancer / Incidence | Unlocking ferroptosis: A novel link between triple-negative breast cancer and immune regulation.
41663524 | 2026-02-10 | Calcium / Breast cancer / Incidence | Peripheral blood CD14 + monocytes in luminal breast carcinoma subtypes: in preliminary research and overview of candidate biomarker proteins.
41663649 | 2026-02-10 | Vitamin D / Breast cancer / Incidence | Association of 25-hydroxyvitamin D levels and vitamin D receptor gene polymorphisms with breast cancer risk in Bangladeshi women.
41664213 | 2026-02-09 | Ribose / Ovarian cancer / Incidence | Exploring the optimal cutoff point and genomic characteristics for PARP inhibitor maintenance therapy in early recurrence of ovarian cancer.
41665359 | 2026-03-11 | Lactobacillus / Uterine cancer / Incidence | The vaginal microbiome, papillomavirus infection, and cervical cancer: established associations in search of model systems and mechanistic answers.
41666661 | 2026-04-01 | Zinc / Breast cancer / Incidence | Comprehensive bioinformatic analysis and experimental validation identify MT1M and MT1X as key metallothioneins in BC pathogenesis.
41667744 | 2026-02-11 | Copper / Breast cancer / Incidence; Quercetin / Breast cancer / Incidence | Box-Behnken optimized copper oxide nanoparticles from Thymus vulgaris potentiate efficacy against multidrug-resistant bacterial pathogens and exhibit anticancer activity.
41668047 | 2026-02-10 | Iodine / Breast cancer / Incidence | Pretreatment dual-energy CT versus diffusion-weighted imaging for predicting pathologic complete response to neoadjuvant chemotherapy in breast cancer.
41668072 | 2026-02-10 | Ribose / Ovarian cancer / Incidence | Exploiting synthetic lethality in epithelial ovarian cancer: multi-dimensional approaches beyond DNA damage repair.
41668153 | 2026-02-10 | Zinc / Breast cancer / Incidence | High-dose irradiation promotes macrophage-mediated engulfment of triple-negative breast cancer through M1 polarization via the IKZF1-CCL5 axis.
41670942 | 2026-02-11 | Cannabidiol / Breast cancer / Incidence | Pharmacokinetic studies and synergistic antitumor effects of cannabichromene and cannabidiol in drug-resistant breast cancers.
41672865 | 2026-07-01 | Ribose / Ovarian cancer / Incidence | Interval versus primary cytoreductive surgery in BRCA-mutated advanced-stage ovarian/peritoneal/tubal carcinoma.
41672971 | 2026-02-11 | Iron / Breast cancer / Incidence | CD36 enhances sensitivity of triple negative breast cancer cells to palmitate-induced ferroptosis.
41673585 | 2026-02-11 | Calcium / Ovarian cancer / Incidence | Increased cytoplasmic and nuclear S100A6 expression is associated with improved prognosis in ovarian cancer.
41673649 | 2026-02-11 | Calcium / Breast cancer / Incidence | Bone morphogenetic protein receptor 2 signaling mediates mitochondrial Ca<sup>2+</sup> transport through its regulation of TAK1 splice variant.
41673690 | 2026-02-11 | Iron / Ovarian cancer / Incidence | Mechanistic insights into a novel GPX4 inhibitor Compound AI-3p reversing cisplatin-resistance in ovarian cancer cells.
41673739 | 2026-02-12 | Iron / Breast cancer / Incidence | Iron diminishes immunosuppressive macrophages and enhances anti-PD-1 immunotherapy in breast cancer models.
41674152 | 2026-03-03 | Calcium / Breast cancer / Incidence; Chondroitin / Breast cancer / Incidence | Structural determinants of glycosaminoglycan oligosaccharides as LL-37 inhibitors in breast cancer.
41674488 | 2026-03-02 | Copper / Breast cancer / Incidence | Multi-Targeting Effects and Orchestrated Induction of Multiple Cell Death Modalities by Silver-Copper Alloy Nanoparticles Functionalized Drug Nanocrystals in Cancer Cells.
41677053 | 2026-02-12 | Ribose / Ovarian cancer / Incidence | Effectiveness of azacytidine for poly ADP-ribose polymerase inhibitor-induced myelodysplastic syndrome in ovarian cancer patient: a twofold triumph.
41677644 | 2026-02-02 | N-acetylcysteine / Ovarian cancer / Incidence | Effects of N-Acetylcysteine and Alpha-Ketoglutarate on OVCAR3 Ovarian Cancer Cells: Insights from Integrative Bioinformatics and Experimental Validation.
41677674 | 2026-02-06 | Leucine / Breast cancer / Incidence | Recombinant Human Decorin Normalizes the Active Features of Breast Cancer-Associated Fibroblasts.
41678559 | 2026 | Iron / Breast cancer / Incidence | Anthropometric and biochemical nutritional indicators and survival in women with breast cancer: A retrospective cohort study.
41679192 | 2026-03-01 | Copper / Breast cancer / Incidence | Disulfiram metabolite Cu(DDC)<sub>2</sub> enhances radionuclide uptake in vivo revealing insights into tumoural ablation resistance.
41679436 | 2026-04-10 | Copper / Breast cancer / Incidence; Pyruvate / Breast cancer / Incidence | Augmenting cuproptosis and anti-metastatic immunity in breast cancer by copper-based nanoplatform for synergistic immunotherapy via lactate metabolic reprogramming and hypoxia alleviation.
41680019 | 2026-07-01 | Ribose / Ovarian cancer / Incidence | Correlation of BRCA and homologous recombination deficiency status with clinical and survival outcomes in patients with advanced-stage ovarian cancer undergoing frontline therapy.
41680021 | 2026-05-01 | Ribose / Ovarian cancer / Incidence; Ribose / Uterine cancer / Incidence | Evaluating the oncologic impact of statin use in gynecologic cancers: a critical review of pre-clinical and clinical evidence.
41680584 | 2026-07-01 | Magnesium / Uterine cancer / Incidence | Magnesium Ions Promote the Apoptosis of Cervical Cancer Cells through the PI3K/AKT/FoxO1 Pathway.
41680789 | 2026-02-12 | Cannabidiol / Ovarian cancer / Incidence | TRPV2 regulates cell fate in the human granulosa-like tumor cell line KGN: implications for granulosa cell tumors and cannabidiol.
41681024 | 2026-02-01 | Iodine / Breast cancer / Incidence | Impact of common artefacts on mass visibility in contrast-enhanced mammography: A virtual imaging trial.
41681056 | 2026-02-01 | Ribose / Ovarian cancer / Incidence | Changes in Epithelial Ovarian Cancer Recurrence and Survival According to Treatment Paradigm Shifts.
41684035 | 2026-02-06 | Ribose / Ovarian cancer / Incidence | High-Grade Serous Ovarian Carcinoma in the Genomics Era: Current Applications, Challenges and Future Directions.
41684176 | 2026-02-13 | Folic acid / Breast cancer / Incidence | Folic acid-decorated tamoxifen-loaded covalent organic framework induces apoptosis in MCF-7 breast cancer cells via BAX/Caspase-8 upregulation.
41684192 | 2026-07-01 | Iodine / Ovarian cancer / Incidence | Malignant struma ovarii: Advances in molecular pathogenesis, classification, diagnosis and treatment.
41684405 | 2026-02-11 | Copper / Breast cancer / Incidence | Design, synthesis, structural characterization, anticancer evaluation, and computational studies of novel quinoline-1,2,3-triazole glycohybrids.
41685799 | 2026-03-17 | Zinc / Breast cancer / Incidence | A smart 3D microfluidic tumor spheroid-vessel co-culture model for studying exosomal HSP-mediated tumor invasion and angiogenesis.
41686184 | 2026-02-13 | Alcohol / Breast cancer / Incidence | Global Burden, Quality of Care, and Attributable Risk Factors of Young-Onset Breast Cancer (YOBC) by WHO Regions: A Systematic Analysis for the Global Burden of Disease Study 2019.
41686323 | 2026-07-01 | Selenium / Breast cancer / Incidence | Selenium-Containing Compounds in Breast Cancer Therapy.
41686450 | 2026-04-01 | Chitosan / Breast cancer / Incidence | Folate-functionalized core-shell nanocarrier System for sustained and targeted delivery of <i>Saraca Indica</i> for breast cancer treatment.
41688849 | 2026-06-01 | Zinc / Breast cancer / Incidence | Current and future perspectives of molecular breast imaging with [<sup>99m</sup>Tc]Tc-Sestamibi: An IAEA international expert panel.
41689303 | 2026-07-01 | Cartilage / Breast cancer / Incidence | COMP-PMEPA1 axis promotes epithelial-to-mesenchymal transition in breast cancer cells.
41689896 | 2026-04-01 | Alcohol / Breast cancer / Incidence | Association between alcohol consumption and breast cancer incidence and prognosis: A systematic review and meta-analysis.
41691059 | 2026-03-01 | Pyruvate / Breast cancer / Incidence | BRD4 orchestrates the metabolic-epigenetic regulation of GM-CSF expression and secretion to drive PD-L1⁺ macrophage-mediated immune evasion in triple-negative breast cancer.
41691707 | 2026-02-12 | Chitosan / Breast cancer / Incidence | Modeling of Paclitaxel Release From Magnetic Niosomes-Loaded Polycaprolactone/Chitosan Nanofiber Matrix Underan Alternating Magnetic Field.
41692043 | 2026-04-10 | Iron / Breast cancer / Incidence | Effect of clinically relevant iron oxide nanoparticles on macrophage polarization, tumor growth and tumor microenvironment modulation.
41692045 | 2026-04-10 | Nitric oxide / Breast cancer / Incidence | Immunosuppressive-responsive hydrogel for self-regulated drug release and tumor microenvironment reprogramming.
41692348 | 2026-05-01 | Calcium / Breast cancer / Incidence | An allosteric SHP2 inhibitor suppresses breast cancer-induced osteoclastogenesis and bone lysis.
41693303 | 2026-02-01 | Zinc / Breast cancer / Incidence; Zinc / Ovarian cancer / Incidence | Immunoreactivities of ZCCHC3 and Efp in the High-Grade Serous and Clear Cell Ovarian Carcinomas Are Worse Prognostic Factors.
41693649 | 2026-02-28 | Potassium / Breast cancer / Incidence | KCTD15 Enhances Stem Cell-Like Properties and Promotes Triple-Negative Breast Cancer Progression Through KLF4/β-Catenin Signaling.
41694094 | 2026-02-05 | Folic acid / Breast cancer / Incidence | Folic acid-functionalized mesoporous silica nanoparticles integrating fluorouracil-derived carbon dots and porphyrin for targeted breast cancer chemo-photodynamic therapy.
41695411 | 2026-02-11 | Quercetin / Breast cancer / Incidence | Synergistic modulation of ABC transporter-mediated multidrug resistance by <i>Kalanchoe laciniata</i> (L.) DC. phytochemicals: integrative phytochemical profiling, network pharmacology, and molecular docking insights.
41696317 | 2026-02-10 | Phosphorus / Breast cancer / Incidence | Designing Bioconjugated Ti<sub>3</sub>C<sub>2</sub> MXene QDs with Excellent Two-Photon Absorption Coefficients for Targeted NIR-II Imaging of Triple-Negative Breast Cancer Cells.
41697310 | 2026-04-01 | Calcium / Breast cancer / Incidence; Vitamin D / Breast cancer / Incidence | Effectiveness and safety of bone protective interventions to mitigate bone loss and skeletal fractures experienced by patients with non-metastatic breast cancer: a systematic review and meta-analysis.
41697452 | 2026-02-16 | Green tea / Ovarian cancer / Incidence; Melatonin / Ovarian cancer / Incidence; Mushrooms / Ovarian cancer / Incidence; Tea / Ovarian cancer / Incidence; Vitamin D / Ovarian cancer / Incidence | Integrative Oncology for Biochemical Recurrence of Epithelial Ovarian Cancer.
41698963 | 2026-02-16 | Nitric oxide / Breast cancer / Incidence | A novel approach to silver nanoparticle biosynthesis using ursolic acid from Catharanthus roseus for therapeutic effects.
41699384 | 2026-02-16 | Ribose / Ovarian cancer / Incidence | Cosegregation analysis following an excellent response to olaparib in a pancreatic cancer patient carrier of BRCA2:c.7892 T > C variant enables its reclassification from VUS to pathogenic.
41700599 | 2026-03-01 | Calcium / Breast cancer / Incidence | Clinical and prognostic significance of parathyroid hormone-related protein in breast cancer: a systematic review and meta-analyses of observational studies in women.
41700975 | 2026-06-17 | Iodine / Breast cancer / Incidence | Associations between radioactive iodine treatment for hyperthyroidism and cancer incidence and mortality.
41701112 | 2026-03-02 | Chitosan / Breast cancer / Incidence | Regulation of CAF by α-Mangostin Promotes the Penetration of Nanomedicine and Inhibits the Metastasis of Breast Tumor.
41702151 | 2026-06-01 | Calcium / Breast cancer / Incidence; Manganese / Breast cancer / Incidence | Synergistic induction of calcium overload and ROS burst by a core-shell nanoparticle for potentiated tumor suppression in breast cancer.
41703096 | 2026-02-17 | Calcium / Breast cancer / Incidence; Iron / Breast cancer / Incidence; Phosphorus / Breast cancer / Incidence; Zinc / Breast cancer / Incidence | Altered trace and toxic element profiles in breast tissue: a case-control study of cancer risk.
41703283 | 2026-03-01 | Vitamin D / Breast cancer / Incidence | KDM6A alternative splicing induced by 25(OH)D inhibits breast cancer cell stemness through repressing TRAP1 transcription.
41703284 | 2026-03-01 | Iron / Ovarian cancer / Incidence | TFAP2C protects against ferroptosis in ovarian cancer through the KEAP1-NRF2 axis by recruiting HDAC1/2.
41703591 | 2026-02-17 | Zinc / Breast cancer / Incidence | Incidence of cardiotoxicity assessed with CZT-ERNA in patients undergoing contemporary cancer therapy: a 12-year real-world experience.
41704299 | 2026-04-01 | Calcium / Breast cancer / Incidence | Ultrasound-triggered carrier-free nanoprodrugs activate cGAS-STING pathway to enhance tumor-targeting chemo-immunotherapy.
41704531 | 2026 | Ginseng / Breast cancer / Incidence | Evaluation of Ginsenosides and Their Derivatives From <i>Panax ginseng</i> as Aromatase Inhibitors for Breast Cancer Treatment-An <i>in silico</i> study.
41705291 | 2026-03-01 | Melatonin / Breast cancer / Incidence | EXPRESSION OF CONCERN: Simultaneous Modulation of COX-2, p300, Akt, and Apaf-1 Signaling by Melatonin to Inhibit Proliferation and Induce Apoptosis in Breast Cancer Cells.
41705552 | 2026-02-15 | Gelatin / Breast cancer / Incidence | Gelatin-methacryloyl hydrogel stiffness influences epithelial-mesenchymal transition in MCF7 but not MDA-MB-231 breast cancer cells in 3D culture.
41705660 | 2026-02-25 | Copper / Breast cancer / Incidence | Exploring the Anticancer Properties and Mode of Action of Copper(II)-Furan Acylhydrazone on Human Triple Negative Breast Cancer Cells.
41706454 | 2026-02-02 | Alcohol / Breast cancer / Incidence | A Geographically Sensitive Neighborhood Exposome-Wide Association Study for Breast Cancer Survival.
41706708 | 2026-05-01 | Selenium / Breast cancer / Incidence | Fatty acid and cysteine metabolic interplay regulate ferroptosis and highlight xCT as a selenium-chrysin target in breast carcinoma.
41707790 | 2026-03-25 | Chitosan / Breast cancer / Incidence; Chondroitin / Breast cancer / Incidence; Folic acid / Breast cancer / Incidence | Synergistic targeting and stimuli-responsive drug delivery from a dual-network injectable hydrogel for enhanced breast cancer treatment.
41707813 | 2026-05-23 | Dandelion / Breast cancer / Incidence | Dandelion (Taraxacum mongolicum Hand. -Mazz.) extract inhibits triple-negative breast cancer by inducing ferroptosis via NCOA4-mediated ferritinophagy.
41708586 | 2026-02-18 | Iron / Ovarian cancer / Incidence | SREBP1 knockdown triggers ferroptosis by suppressing the Nrf2-XCT/GPX4 axis in ovarian cancer.
41709787 | 2026-02-01 | Caffeine / Breast cancer / Incidence | Synergistic Effects of Caffeine and Paclitaxel in Breast Cancer Cells: Mechanistic Insights Into NF-κB and Nrf2 Signaling.
41711095 | 2026-02-15 | Alcohol / Ovarian cancer / Incidence | Correction to "Association of alcohol intake over the lifetime with colorectal adenoma and colorectal cancer risk in the Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial".
41711309 | 2026-02-19 | Calcium / Breast cancer / Incidence | Effects of cisplatin and tamoxifen chemotherapy on peri-implant bone remodeling around titanium implants in ovariectomized rats: An in vivo study.
41711410 | 2026-02-01 | Magnesium / Breast cancer / Incidence; Zinc / Breast cancer / Incidence | Green and Ecofriendly Mycosynthesis of Nanocomposite Based on Zinc and Magnesium Oxide Nanoparticles Using Endophytic Sarocladium kiliense: Characterization, Anticancer Activity, Antimicrobial and Antibiofilm Activities.
41712159 | 2026-05-01 | Ribose / Breast cancer / Incidence | High PARP7 Expression is Associated with Higher Estrogen Response and Immune Suppression but Less Cell Proliferation and Better Survival in Breast Cancer.
41712919 | 2026-03-04 | Folic acid / Breast cancer / Incidence | Multi-Responsive Upconversion Hybrid Nanobots Clad with Dopamine for Light-Driven Breast Cancer Therapy.
41713143 | 2026-02-12 | Molybdenum / Breast cancer / Incidence | Fabrication of electrochemical biosensor with a CD36 aptamer and AuMoS<sub>2</sub> heterolayer for tumor-derived exosome detection.
41713439 | 2026-03-01 | Alcohol / Breast cancer / Incidence | Avoidable deaths through the primary prevention, early detection, and curative treatment of cancer worldwide: a population-based study.
41715047 | 2026-02-20 | Mediterranean diet / Breast cancer / Incidence; Olive / Breast cancer / Incidence | Unveiling the antioxidant and anticancer potential of local mediterranean olive and fig extracts against breast cancer.
41717971 | 2026-05-01 | Glutamine / Breast cancer / Incidence; Iron / Breast cancer / Incidence | A Glutamine-Metabolism-Intervening Nanoplatform Activates Lipophagy to Potentiate Ferroptosis and Immune Activation in Breast Cancer.
41718323 | 2026-02-02 | Gelatin / Breast cancer / Incidence | An Open-Source Automated Pipeline for Quantitative Morphological Analysis of 3D-Bioprinted Cancer Cell Spheroids.
41719761 | 2026-07-01 | Iron / Breast cancer / Incidence | Iron-vacancy-tailored sonosensitive catalysts amplify noninvasive tumor suppression by apoptosis/pyroptosis co-induction.
41720064 | 2026-02-17 | Zinc / Breast cancer / Incidence | Subtype-resolved transcriptomic analysis reveals distinct zinc-finger regulatory hubs in breast cancer.
41720368 | 2026-04-01 | Folic acid / Breast cancer / Incidence | Maternal-fetal transfer of emerging bisphenols: Exposure profile and potential link to latrogenic preterm birth.
41721009 | 2026-02-20 | Alcohol / Breast cancer / Incidence | Breast cancer: taxonomy, distribution analysis, risk factors, predictive biomarkers, and modern treatment method.
41721648 | 2026-02-21 | Potassium / Ovarian cancer / Incidence; Zinc / Ovarian cancer / Incidence | KCMF1 promotes malignant progression by NXN ubiquitin-dependent degradation in ovarian cancer.
41722126 | 2026-04-01 | Glutamine / Breast cancer / Incidence | Sanhua essential oil exerts antidepressant effects in breast cancer-related depression by modulating metabolic pathways.
41723287 | 2026-03-01 | Ribose / Ovarian cancer / Incidence | Age-Related Differences in Severe Adverse Events During Maintenance Therapy with PARP Inhibitors: A Retrospective Cohort Study in Japanese Patients with Ovarian Cancer.
41724338 | 2026-05-01 | Ribose / Breast cancer / Incidence | Immunotherapy in triple-negative breast cancer: From molecular mechanisms to precision medicine-overcoming resistance and optimizing clinical outcomes.
41727696 | 2026 | Alcohol / Breast cancer / Incidence | Global trends and disease burden of elderly male breast cancer, 1990-2021: a population-based study.
41728351 | 2026-04-01 | Zinc / Ovarian cancer / Incidence | Effect of the hsa-microRNA 200c-3p/ZEB1 loop in epithelial-mesenchymal transition of ovarian cancer cells.
41729126 | 2026-03-11 | Iron / Breast cancer / Incidence | Succinylated D-Type Neuropeptide Integrated with Iron-Based Probes for Regulating Mitochondrial Function and Homeostasis in Breast Cancer.
41729954 | 2026 | Iron / Uterine cancer / Incidence | COX7A1-mediated mitochondrial dysfunction can induce ferroptosis in endometrial cancer cells.
41731502 | 2026-02-24 | Ribose / Ovarian cancer / Incidence | Targeting cancer stem cells predicts response and reverses chemoresistance in ascites-derived ovarian cancer organoids.
41731704 | 2026-02-23 | Ribose / Breast cancer / Incidence | <i>BRCA2</i> and <i>NF2</i>-Mutated High-Grade Renal Cell Carcinoma: A Case Report and Literature Review.
41733297 | 2026-03-05 | Chitosan / Ovarian cancer / Incidence | Bioengineered <i>Escherichia coli Nissle</i> 1917 with hematoporphyrin monomethyl ether for targeted sonodynamic therapy and immune activation in ovarian cancer.
41733557 | 2026-06-01 | Capsaicin / Breast cancer / Incidence | Chronic pain after mastectomy: current knowledge and knowledge gaps.
41733883 | 2026-02-01 | L-tryptophan / Breast cancer / Incidence | Qizaobaoxin Decoction ameliorates doxorubicin/trastuzumab-induced cardiotoxicity by modulating gut microbiota and associated metabolites.
41734034 | 2026-04-15 | Ribose / Ovarian cancer / Incidence | Tumor cell-derived IFN spatially reprograms osteopontin-enriched macrophage niches to promote PARP inhibitor resistance.
41734645 | 2026-03-01 | Vitamin D / Breast cancer / Incidence | 25-nitro-20-epi-vitamin D analogue with anti-proliferative and cytoprotective properties: Biological and pharmacological evaluation.
41735312 | 2026-02-25 | Copper / Ovarian cancer / Incidence; Ribose / Ovarian cancer / Incidence | Targeting de novo pyrimidine synthesis confers vulnerability to copper-mediated ATR inactivation in PARP inhibitor-resistant ovarian cancer.
41735324 | 2026-02-24 | Lactobacillus / Uterine cancer / Incidence | Cell cycle gene expression and microbial profiles associated with HPV related cervical neoplasia and cervical microbiome shifts.
41736040 | 2026-02-24 | Iron / Breast cancer / Incidence | Chlorine-coordinated iron single-atom nanozymes for amplified ferroptosis in triple-negative breast cancer therapy.
41736752 | 2026 | Ribose / Breast cancer / Incidence | Poly(ADP-ribose) polymerase (PARP) inhibitors in cardiovascular, and cerebrovascular diseases: mechanisms, current trends and challenge for clinical translation.
41737039 | 2026 | Copper / Breast cancer / Incidence | Macrophage-Derived CuET Vesicles Synergistically Enhance Paclitaxel Efficacy by Inhibiting Tumor Growth and Boosting Immunity in Breast Cancer.
41737493 | 2026-02-16 | Selenium / Breast cancer / Incidence | Development of dual acting selenium-doped hydroxyapatite nanoparticles with platinum-bisphosphonate complexes for bone cancer therapy.
41738466 | 2026-03-11 | Resveratrol / Breast cancer / Incidence | Phenylboronic acid functionalized resveratrol-based nanomedicines with enhanced targeting for synergistic chemo-photothermal breast cancer therapy.
41739621 | 2026-03-12 | Ribose / Breast cancer / Incidence | Discovery of Novel and Potent Dual PARP1/ERK Inhibitors as a Promising Strategy for Cancer Therapy.
41739646 | 2026-03-24 | Omega-3 fatty acids / Ovarian cancer / Incidence | FAK inhibition in ovarian cancer releases omega-3 fatty acids to program CXCL13-producing anti-tumor resident peritoneal macrophages.
41740350 | 2026-06-05 | Quercetin / Breast cancer / Incidence | Structure-guided discovery of 4-phenyl-5-p-tolyloxymethyl-4H-1,2,4-triazole thioethers as 15-lipoxygenase inhibitors using integrated in vitro, structure-activity relationship, in silico, cytotoxicity towards MCF-7 cell line, DNA docking and MD simulation methods.
41740526 | 2026-02-24 | Melatonin / Breast cancer / Incidence | Melatonin's oncostatic effects in experimental breast cancer: A systematic review of dose-response and apoptotic mechanisms in animal models.
41740575 | 2026-07-01 | Copper / Breast cancer / Incidence | Engineered biohybrids for photothermally enhanced chemodynamic-immunotherapy through reprograming immunosuppressive microenvironment and inhibiting immune evasion.
41741415 | 2026-02-25 | Pyruvate / Breast cancer / Incidence | Deubiquitinase UCH-L1 confers paclitaxel resistance via stabilizing PKM2 to promote glycolysis in triple-negative breast cancer.
41743017 | 2026-04-01 | Potassium / Breast cancer / Incidence | Erratum: [Corrigendum] Potassium increases the antitumor effects of ascorbic acid in breast cancer cell lines <i>in vitro</i>.
41743194 | 2026 | Probiotics / Breast cancer / Incidence | Novel Microbiome-Driven Approaches to Counteract Chemotherapy-Induced Mucositis in Breast Cancer Patients.
41744856 | 2026-02-03 | Calcium / Breast cancer / Incidence | Trop2-Based Antibody-Drug Conjugates: Emerging Strategy and Progress in Triple-Negative Breast Cancer Therapy.
41744893 | 2026-02-23 | Glutamine / Breast cancer / Incidence | Metabolic Vulnerabilities as a Therapeutic Target in Breast Cancer.
41746153 | 2026-04-01 | Calcium / Breast cancer / Incidence | Evaluation of breast calcif ication, calcif ication characteristics, and BI-RADS categories in patients with primary hyperparathyroidism.
41747908 | 2026-07-01 | Berberine / Breast cancer / Incidence; Boron / Breast cancer / Incidence | Discovery of C-9 boronated berberine derivatives with enhanced selectivity against breast cancer.
41749748 | 2026-02-12 | Chitosan / Breast cancer / Incidence | Lipid-Polymer Nanoparticles (LiPoNs) Mediated Codelivery of AntimiR-21 and Gadolinium Chelate in Triple Negative Breast Cancer Theranostics.
41749903 | 2026-02-17 | Ribose / Ovarian cancer / Incidence | Symptom Monitoring in Ovarian Cancer Patients Treated with PARP Inhibitors: Agreement Between Physician- and Patient-Reported Toxicities Using PRO-CTCAE.
41750586 | 2026-02-04 | Antioxidants / Breast cancer / Incidence | The Algal Antioxidant Carotenoid Diatoxanthin as a Modulator of Inflammation and Angiogenesis in Triple-Negative Breast Cancer Cells.
41751433 | 2026-02-02 | Resveratrol / Breast cancer / Incidence | Botanical Adjuvants in Oncology: A Review on Natural Compounds in Synergy with Conventional Therapies as Next-Generation Enhancers of Breast Cancer Treatment.
41751481 | 2026-02-17 | Ginseng / Breast cancer / Incidence; Ginseng / Ovarian cancer / Incidence | Research Progress on the Anticancer Effect of Ginsenoside Rh1.
41751884 | 2026-02-11 | Cannabidiol / Breast cancer / Incidence; Resveratrol / Breast cancer / Incidence | The Analgesic Effects of Nrf2 Activators in Chemotherapy-Induced Neuropathic Pain: Evidence from Animal Studies and Consequences for Translation into Clinical Trials.
41752151 | 2026-02-20 | Calcium / Breast cancer / Incidence; Copper / Breast cancer / Incidence | Ultrasound-Responsive Calcium Copper Phosphate Nanomaterials Induce Tumor Cell Death via the Synergistic Release of Copper and Calcium.
41752398 | 2026-02-10 | Berberine / Breast cancer / Incidence | Self-Assembled Berberine-Sinapic Acid Nanomedicine for Synergistic Chemotherapy.
41753346 | 2026-02-22 | Ribose / Breast cancer / Incidence; Ribose / Ovarian cancer / Incidence | Outcomes of First-Line PARP Inhibitor Therapy in Ovarian Cancer: A Multicenter Retrospective Analysis.
41754124 | 2026-02-12 | Fish oil / Breast cancer / Incidence | Lifelong <i>n</i>-3 PUFA Consumption Reduces HER2+ Mammary Tumour Growth and Alters Immune Markers Compared to Safflower- or Corn Oil-Based Sources of <i>n</i>-6 PUFA.
41754651 | 2026-02-12 | Zinc / Breast cancer / Incidence | Synergistic Integration of Spin Crossover and Zinc Oxide in Transparent Films for Active Intelligent Packaging.
41754956 | 2026-02-09 | Boron / Breast cancer / Incidence | Fe/<sup>57</sup>Fe-Metallacarboranes with Radiosensitizing Potential in Breast Cancer Cell Models: Comparative Study Between High- (<sup>60</sup>Co) and Low-Energy (<sup>57</sup>Co) Gamma Radiation Sources.
41754998 | 2026-02-19 | Ribose / Ovarian cancer / Incidence | AZD4635 Targets cAMP/CREB Axis to Salvage PARPi-Induced Immune Evasion and Enhance Antitumor Efficacy in Ovarian Cancer.
41755009 | 2026-02-22 | Calcium / Breast cancer / Incidence | Calcium/Aluminum-Cored Asymmetric Bilayer Nanoparticles for Codelivery of Ziyuglycoside II and PD-L1 siRNA Exert Anti-Breast Tumor Effects.
41755765 | 2026-02-27 | Folic acid / Breast cancer / Incidence | Targeted lipid-polymer hybrid nanocapsules for controlled codelivery of doxorubicin and paclitaxel: physicochemical characterization and In vitro anticancer evaluation.
41757386 | 2026-05-01 | Boron / Breast cancer / Incidence | Exploring the Use of Boron Neutron Capture Therapy for Recurrent Breast Cancer and Brain Metastases: A Case Series.
41758796 | 2026 | Lactobacillus / Uterine cancer / Incidence | Analysis of the correlation between vaginal microbiota and high-risk human papillomavirus infection and cervical lesions.
41759227 | 2026-04-01 | Iron / Ovarian cancer / Incidence | Ferroptosis in ovarian cancer: Regulation, immunity, and therapeutic potential with the tumor microenvironment.
41760208 | 2026-02-25 | Calcium / Breast cancer / Incidence | [Force-regulation mechanism of E-selectin mediated adhesion and activation of MDA-MB-231 cells under fluid shear stress].
41761316 | 2026-02-27 | Chitosan / Breast cancer / Incidence | Development of AS1411 aptamer-conjugated chitosan-carbon dot nanocarriers for targeted drug delivery and fluorescent imaging in breast cancer therapy.
41761966 | 2026-02-12 | Glutamine / Breast cancer / Incidence | Metabolic Portrait of Breast Cancer in Mixed Saliva.
41761980 | 2026-02-05 | Iron / Ovarian cancer / Incidence | Ferroptosis Induction is Insufficient to Ensure NK Cell Activation in High-Grade Ovarian Cancer.
41762429 | 2026-04-01 | Iodine / Breast cancer / Incidence | A segment anything model-driven framework for multimodal active learning in breast cancer segmentation.
41762588 | 2026-04-01 | Zinc / Breast cancer / Incidence | Synthesis, structural characterization, computational studies, and anticancer evaluation of novel rufloxacin Schiff base metal complexes with involvement of Mcl-1 modulation in breast cancer cells.
